FMID,MarketName,Website,Facebook,Twitter,Youtube,OtherMedia,street,city,County,State,zip,Season1Date,Season1Time,Season2Date,Season2Time,Season3Date,Season3Time,Season4Date,Season4Time,x,y,Location,updateTime
1000001,Shelby Food and Craft Market,,,,,,City Hall park,Shelby,Toole,Montana,59474,,,,,,,,,-111.856,48.5041,,2009
1000003,Edmore Farmers Market,http://www.Edmore.org,https://www.facebook.com/EdmoreFarmersMarket,https://Twitter.com/edmoremarket,,,Corner of Lewis Street and Pine Street,Edmore,Montcalm,Michigan,48829,05/31/2014 to 10/31/2014,Tue: 3:00 PM-6:30 PM;Fri: 8:00 AM-1:00 PM;,,,,,,,-85.037581,43.4060489,Local government building grounds,3/14/2014 11:06
1000006,Westwood Village Farmers Market,http://www.westwoodonline.com,,,,,Weyburn Ave. & Westwood Blvd.,Los Angeles,Los Angeles,California,90024,,,,,,,,,-118.445,34.0626,,2009
1000007,Santa Barbara La Cumbre Farmers Market,http://www.sbfarmersmarket.org,,,,,110 South Hope Avenue,Santa Barbara,Santa Barbara,California,93101,,,,,,,,,-119.747,34.4378,,2009
1000008,Montrose Farmers Market,http://www.montrosefarmersmarket.com,https://www.facebook.com/MontroseFarmersMarket,,,, Main St. and Uncompahgre Ave.,Montrose,Montrose,Colorado,81401,05/23/2015 to 11/01/2015,Sat: 8:30 AM-1:00 PM;,05/21/2016 to 10/29/2016,Sat: 8:30 AM-1:00 PM;,11/05/2016 to 04/29/2017,Sat: 10:00 AM-1:00 PM;,,,-107.8756668,38.4802387,,6/27/2016 13:22
1000009,South Shore Farmers Market,http://www.southshorefarmersmarket.com,https://www.facebook.com/pages/South-Shore-Farmers-Market/352715301468098,,,,2900 South Shore Drive,Bay View,Milwaukee,Wisconsin,53207,06/14/2014 to 10/11/2014,Sat: 8:00 AM-12:00 PM;,,,,,,,-87.882514,42.994023,Local government building grounds,8/5/2014 13:10
1000010,Pawleys Island Farmers Market,,,,,,,Pawleys Island,Georgetown,South Carolina,29585,April to October,Wed:8:00 AM - 1:00 PM;,,,,,,,-79.12257,33.452713,Local government building grounds,4/27/2012 10:21
1000011,Georgetown County Farmers Market,,,,,,310 Greenwich Drive,Georgetown,Georgetown,South Carolina,29440,April to October,Sat:8:00 AM - 1:00 PM;,,,,,,,-79.276485,33.359961,Local government building grounds,4/27/2012 10:28
1000012,Pearl Market,http://www.downtowncolumbus.com/pearlmarket,https://www.facebook.com/PearlMarket,https://twitter.com/PEARLMARKET,,,Lynn & Pearl Alleys next to the Rhodes State Office Tower at 30 E. Broad St.,Columbus,Franklin,Ohio,43215,06/03/2016 to 10/14/2016,Tue: 10:30 AM-1:30 PM;Fri: 10:30 AM-2:00 PM;,,,,,,,-82.999864,39.963044,,7/7/2016 9:23
1000013,Media Farmers Market,http://www.mediafarmersmarket.com,https://www.facebook.com/mediafarmersmarket,,,, State & Gayley Streets,Media,Delaware,Pennsylvania,19063,05/14/2015 to 11/19/2015,Thu: 3:00 PM-7:00 PM;,,,,,,,-75.3867127,39.9175314,,7/28/2015 5:57
1000014,Tubac Farmers Market,,,,,,"Tubac Plaza, Exit 34 - I-19",Tubac,Pima,Arizona,85646,,,,,,,,,-111.055,31.6228,,2009
1000015,Evening Farmer's Market on the Riverwalk,http://www.puebloharp.com,,,,,101 S. Union Ave,Pueblo,Pueblo,Colorado,81003,,,,,,,,,-104.613,38.2651,,May 24 2010 12:41PM
1000016,"Texarkana, Texas Farmers' Market",http://www.localharvest.org/texarkana-texas-farmers-market-M38382,,,,,305 Texas Boulevard,Texarkana,Bowie,Texas,75501,May to October,Tue:7:00 AM - 1:00 PM;Thu:7:00 AM - 1:00 PM;Sat:7:00 AM - 1:00 PM;,,,,,,,-94.045817,33.421527,Other,5/2/2012 14:45
1000021,Mid-Town Farmers Market,http://www.mtfarmersmarket.com,https://www.facebook.com/mtmarket,,,,700 North Lamar Blvd.,Oxford,Lafayette,Mississippi,38655,05/01/2015 to 10/31/2015,Wed: 8:00 AM-1:00 PM;Sat: 7:00 AM-11:00 AM;,,,,,,,-89.516816,34.373647,,3/23/2015 8:47
1000022,Elizabeth Avenue Farmers Market,http://www.elizabethavefarmersmarket.com,,,,,1521 Elizabeth Ave,Charlotte,Mecklenburg,North Carolina,28204,January to December,Sat:9:00 AM - 1:00 PM;,,,,,,,-80.8269849,35.214409,Private business parking lot,5/24/2012 13:45
1000023,Bradford Store,http://www.thebradfordstore.com/,,,,,15915 Davidson Concord Rd,Huntersville,Mecklenburg,North Carolina,28078,January to December,Tue:10:00 AM - 6:00 PM;Wed:10:00 AM - 6:00 PM;Thu:10:00 AM - 6:00 PM;Fri:10:00 AM - 6:00 PM;Sat:9:00 AM - 4:00 PM;,,,,,,,-80.7855537,35.423328,"On a farm from: a barn, a greenhouse, a tent, a stand, etc",5/22/2012 13:40
1000024,El Segundo Farmers Market,http://www.farmernet.com,,,,,Grand & Eucalyptus,Los Angeles,Los Angeles,California,90045,,,,,,,,,-118.405,33.9208,,2009
1000026,Springfield Cooperative Farmers Market,http://www.springfieldfarmers.com,,,,,158 Avocado Street,Springfield,Hampden,Massachusetts,1101,05/03/2014 to 06/21/2014,Sat: 7:00 AM-11:00 AM;,,,,,,,-72.606701,42.107564,Private business parking lot,3/25/2014 9:51
